lng,lat,name,address,pname,cityname,business_area,type,typecode,id,type1,type2,type3,type4,status,uid_name,lng_wgs84,lat_wgs84,geometry
114.1416265,22.69009504,深圳雨果斯佰利网球学院,平湖街道竹高塘路11号,广东省,深圳市,平湖,科教文化服务;学校;高等院校,141201,B0FFFEIYV3,科教文化服务,学校,高等院校,,Matched,深圳雨果斯佰利网球学院,114.1416265,22.69009504,"POLYGON ((114.14145102028584 22.6906644258438, 114.14124643297717 22.690420133715428, 114.14135881998679 22.69026436023985, 114.1409654737013 22.689956263130476, 114.14163917328709 22.689338348320696, 114.14175464909884 22.689476914131586, 114.14231877640493 22.69050754720325, 114.14203245772784 22.690642524490677, 114.14211264123368 22.690866610857732, 114.14179474519679 22.69101003334385, 114.14171755758322 22.690964811760058, 114.14157932369764 22.69085670053342, 114.14145102028584 22.6906644258438))"
113.9807812,22.54250135,暨南大学深圳旅游学院深圳汉语教学中心,嘉应街2号暨南大学深圳旅游学院,广东省,深圳市,,科教文化服务;学校;高等院校,141201,B02F38U80R,科教文化服务,学校,高等院校,,Matched,深圳旅游学院,113.9807812,22.54250135,"POLYGON ((113.98103875251644 22.541517443296904, 113.98110977155123 22.54160462555936, 113.98130368037093 22.541799833543703, 113.98142297793142 22.541920468907662, 113.98167674188372 22.54207329972271, 113.98178357706907 22.542095578528855, 113.98185589896542 22.54209436213872, 113.98200113772322 22.5421371240792, 113.98207455216061 22.542196899790117, 113.98209609287224 22.542278429398387, 113.98209268529976 22.542490224457065, 113.98192308274632 22.542766712755046, 113.98168862725394 22.54321038216362, 113.98156392498927 22.543335745767614, 113.98121736623531 22.543488968997007, 113.98093166852206 22.54348502043181, 113.98040338129618 22.543254607213218, 113.98016876971357 22.543064916569712, 113.98000039078644 22.54293982417172, 113.97992618768949 22.542729658974977, 113.97986954606424 22.542459446021777, 113.9798496057785 22.54231071568168, 113.97990309521234 22.542039376992644, 113.97994300453533 22.541947265537196, 113.98006830673691 22.541833302876515, 113.98010182781731 22.541792406537393, 113.98029377049855 22.541628249467525, 113.98039991469047 22.541574338477584, 113.98053997565174 22.541520726537204, 113.98103875251644 22.541517443296904))"
113.9422374,22.79653143,中国科学院深圳理工大学,公常路与光姜路交叉口南80米,广东省,深圳市,,科教文化服务;学校;高等院校,141201,B0HK0MDBQE,科教文化服务,学校,高等院校,,No Uid,,113.9422374,22.79653143,
113.9495485,22.54063909,哈尔滨工业大学,科技南十路6号深圳航天科技创新研究院D601-602,广东省,深圳市,科技园,科教文化服务;学校;高等院校,141201,B02F37TC8W,科教文化服务,学校,高等院校,,No Geometry,,113.9495485,22.54063909,
113.9091224,22.56888119,中山大学现代远程教育嘉文学习中心,新安二路122号,广东省,深圳市,新安,科教文化服务;学校;高等院校,141201,B0FFGJ67VM,科教文化服务,学校,高等院校,,No Uid,,113.9091224,22.56888119,
113.8980546,22.78047322,深圳市社会主义学院光明分院,红花中路与振明路交叉口东北140米,广东省,深圳市,公明,科教文化服务;学校;高等院校,141201,B0FFLJ63RT,科教文化服务,学校,高等院校,,No Uid,,113.8980546,22.78047322,
113.9345566,22.53224573,深圳大学传播学院,深圳大学南校区L7栋,广东省,深圳市,科技园,科教文化服务;学校;高等院校,141201,B0FFJ7YGCH,科教文化服务,学校,高等院校,,No Geometry,,113.9345566,22.53224573,
114.2259663,22.74441492,设计学院,将军帽路1号,广东省,深圳市,,科教文化服务;学校;高等院校,141201,B0FFL8BKNA,科教文化服务,学校,高等院校,,No Uid,,114.2259663,22.74441492,
114.2400022,22.56627036,深圳行政学院(盐田分院),梧桐路1008号(盐田港西地铁站A2口步行350米),广东省,深圳市,沙头角,科教文化服务;学校;高等院校,141201,B0FFF01HVR,科教文化服务,学校,高等院校,,No Geometry,,114.2400022,22.56627036,
113.9332462,22.52869904,深圳大学物理与光电工程学院,高新南十道深圳大学(沧海校区),广东省,深圳市,科技园,科教文化服务;学校;高等院校,141201,B0FFLALLPD,科教文化服务,学校,高等院校,,No Geometry,,113.9332462,22.52869904,
